docid,level,parent,code,label
232,2,231,sdv.gen.ga,sdv.gen.ga = Sciences du Vivant [q-bio]/Génétique/Génétique animale
233,2,231,sdv.gen.gh,sdv.gen.gh = Sciences du Vivant [q-bio]/Génétique/Génétique humaine
234,2,231,sdv.gen.gpl,sdv.gen.gpl = Sciences du Vivant [q-bio]/Génétique/Génétique des plantes
235,2,231,sdv.gen.gpo,sdv.gen.gpo = Sciences du Vivant [q-bio]/Génétique/Génétique des populations [q-bio.PE]
236,1,193,sdv.ib,sdv.ib = Sciences du Vivant [q-bio]/Ingénierie biomédicale
237,2,236,sdv.ib.bio,sdv.ib.bio = Sciences du Vivant [q-bio]/Ingénierie biomédicale/Biomatériaux
238,2,236,sdv.ib.ima,sdv.ib.ima = Sciences du Vivant [q-bio]/Ingénierie biomédicale/Imagerie
239,2,236,sdv.ib.mn,sdv.ib.mn = Sciences du Vivant [q-bio]/Ingénierie biomédicale/Médecine nucléaire
240,1,193,sdv.ida,sdv.ida = Sciences du Vivant [q-bio]/Ingénierie des aliments
241,1,193,sdv.imm,sdv.imm = Sciences du Vivant [q-bio]/Immunologie
242,2,241,sdv.imm.all,sdv.imm.all = Sciences du Vivant [q-bio]/Immunologie/Allergologie
243,2,241,sdv.imm.ia,sdv.imm.ia = Sciences du Vivant [q-bio]/Immunologie/Immunité adaptative
244,2,241,sdv.imm.ii,sdv.imm.ii = Sciences du Vivant [q-bio]/Immunologie/Immunité innée
245,2,241,sdv.imm.imm,sdv.imm.imm = Sciences du Vivant [q-bio]/Immunologie/Immunothérapie
246,2,241,sdv.imm.vac,sdv.imm.vac = Sciences du Vivant [q-bio]/Immunologie/Vaccinologie
247,1,193,sdv.mhep,sdv.mhep = Sciences du Vivant [q-bio]/Médecine humaine et pathologie
248,2,247,sdv.mhep.aha,"sdv.mhep.aha = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Anatomie, Histologie, Anatomopathologie [q-bio.TO]"
249,2,247,sdv.mhep.chi,sdv.mhep.chi = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Chirurgie
250,2,247,sdv.mhep.csc,sdv.mhep.csc = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Cardiologie et système cardiovasculaire
